AppCode,View,ViewDescription
eiatype,eiatype-search-view,search-view-for-type-of-equipment
eiatype,eiatype-search-view,search-view-for-type-of-equipment
eiatype,eiatype-search-view,search-view-for-type-of-equipment
eiatype,eiatype-add-view,adds-view-for-type-of-equipment
eiatype,eiatype-information-subtab,information-view-for-type-of-equipment
eiatype,eiatype-equipment-subtab,equipment-view-for-type-of-equipment
eiatype,eiatype-equipment-subtab,equipment-view-for-type-of-equipment
eiatype,eiatype-equipment-subtab,equipment-view-for-type-of-equipment
eiatype,eiatype-equipment-subtab,equipment-view-for-type-of-equipment
eiatype,eiatype-component-subtab,component-view-for-type-of-equipment
eiatype,eiatype-component-subtab,component-view-for-type-of-equipment
eiatype,eiatype-component-subtab,component-view-for-type-of-equipment
eiatype,eiatype-material-subtab,material-view-for-type-of-equipment
eiatype,eiatype-material-subtab,material-view-for-type-of-equipment
eiatype,eiatype-material-subtab,material-view-for-type-of-equipment
eiatype,eiatype-material-subtab,material-view-for-type-of-equipment
eiatype,eiatype-service-subtab,service-view-for-type-of-equipment
eiatype,eiatype-service-subtab,service-view-for-type-of-equipment
eiatype,eiatype-service-subtab,service-view-for-type-of-equipment
eiatype,eiatype-service-subtab,service-view-for-type-of-equipment
eia,eia-seach-view,search-view-for-equipment
eia,eia-seach-view,search-view-for-equipment
eia,eia-seach-view,search-view-for-equipment
eia,eia-add-view,adds view-for-equipment
eia,eia-information-subtab,information-view-for-equipment
eia,eia-component-subtab,component-view-for-equipment
eia,eia-component-subtab,component-view-for-equipment
eia,eia-component-subtab,component-view-for-equipment
eia,eia-report-subtab,report-view-for-equipment
eia,eia-report-subtab,report-view-for-equipment
user,users-each-view,search-view-for-user-administration
user,users-each-view,search-view-for-user-administration
user,users-each-view,search-view-for-user-administration
user,user-add-view,adds-view-for-user-administration
user,user-information-subtab,information-view-for-user-administration
user,user-login-subtab,login-view-for-user-administration
user,user-credential-subtab,credential-view-for-user-administration
user,user-credential-subtab,credential-view-for-user-administration
mplan,man-csearch-subtab,credential-view-for-man-administration
activity,man-csearch-subtab,credential-view-for-man-administration
#emh,main-view,main-view-for-medical.history
res,main-view,main-view-for-health